Unnamed: 0,grants,size,packages,alters,commands,commits,time,md
1443,0,16,1,1,3,0,0.366,0
1444,0,33,1,5,5,0,0.405,0
1445,0,17,1,1,3,0,0.372,0
1446,2,88,9,11,12,0,1.244,0
1447,0,20,2,3,3,0,0.405,0
1448,0,20,2,3,3,0,0.392,0
1449,0,29,1,4,4,0,0.417,0
1450,0,41,2,6,6,0,0.398,0
1451,0,35,2,2,4,0,0.516,0
1452,0,13,1,1,3,0,0.489,0
1453,0,13,1,1,3,0,0.531,0
1454,0,25,2,2,3,0,0.378,0
1455,0,74,5,6,10,0,0.387,0
1456,0,59,6,6,8,0,0.36,0
1457,0,64,1,12,6,0,0.901,0
1458,1,40,3,2,9,0,0.519,0
1459,0,20,2,3,3,0,0.369,0
1460,1,36,2,3,7,0,0.728,0
1461,0,16,1,1,3,0,0.345,0
1462,0,23,2,2,3,0,0.769,0
1463,0,20,2,3,3,0,0.393,0
1464,0,20,2,3,3,0,0.397,0
1465,0,56,4,12,6,0,1.002,0
1466,0,51,5,5,7,0,0.363,0
1467,1,198,2,1,47,0,0.735,0
1468,4,361,15,10,15,0,0.902,0
1469,0,17,1,1,3,0,0.349,0
1470,0,16,1,1,3,0,0.345,0
1471,0,42,2,0,6,0,0.359,0
1472,0,20,2,3,3,0,0.635,0
1473,0,17,2,0,3,0,0.841,0
1474,0,44,2,9,5,0,0.483,0
1475,1,25,2,0,5,0,0.504,0
1476,0,20,2,3,3,0,0.479,0
1477,1,25,2,0,5,0,0.718,0
1478,0,36,1,6,4,0,0.392,0
1479,1,97,0,0,20,0,1.233,0
1480,1,52,3,2,8,0,0.715,0
1481,0,24,1,0,4,0,0.355,0
1482,0,8,1,1,1,0,0.349,0
1483,0,16,1,1,3,0,0.353,0
1484,0,24,2,1,4,0,0.35,0
1485,0,12,1,1,3,0,0.371,0
1486,0,24,1,1,4,0,0.348,0
1487,0,16,1,1,3,0,0.353,0
1488,0,193,2,2,3,0,0.372,0
1489,0,156,4,2,5,0,0.353,0
1490,0,24,2,3,4,0,0.51,0
1491,0,24,2,2,4,0,0.351,0
1492,0,24,2,2,4,0,0.349,0
1493,0,17,1,1,3,0,0.351,0
1494,0,12,1,1,3,0,0.761,0
1495,0,20,2,2,5,0,0.408,0
1496,0,40,3,3,10,0,0.405,0
1497,0,32,6,8,4,0,0.437,0
1498,1,35,4,0,8,0,0.856,0
1499,0,44,4,4,7,0,0.362,0
1500,5,60,3,0,11,0,0.403,0
1501,0,17,1,1,3,0,0.353,0
1502,0,17,1,1,3,0,0.351,0
1503,0,44,3,3,6,0,0.791,0
1504,1,56,4,5,5,0,0.436,0
1505,1,27,3,4,4,0,0.386,0
1506,0,73,1,6,10,0,1.1,0
1507,0,24,1,1,4,0,0.356,0
1508,0,16,1,1,3,0,0.35,0
1509,3,47,3,2,11,0,0.575,0
1510,0,31,0,0,6,0,0.366,0
1511,0,12,1,1,3,0,0.382,0
1512,0,35,2,3,5,0,0.751,0
1513,1,148,19,14,15,0,9.789,0
1514,0,42,3,2,4,0,0.591,0
1515,0,24,1,2,4,0,0.697,0
1516,1,39,4,1,6,0,0.352,0
1517,0,16,1,1,3,0,0.35,0
1518,2,137,6,4,6,0,0.356,0
1519,7,145,11,11,24,0,0.502,0
1520,0,30,3,3,5,0,0.351,0
1521,0,110,2,2,3,0,0.349,0
1522,2,86,6,5,13,0,0.407,0
1523,0,178,2,2,3,0,0.352,0
1524,1,31,2,1,6,0,0.398,0
1525,1,45,3,3,6,0,0.444,0
1526,5,206,9,6,30,0,0.422,0
1527,4,85,1,0,14,0,0.467,0
1528,1,57,3,2,9,0,0.399,0
1529,0,23,1,1,4,0,0.346,0
1530,2,182,7,5,6,0,0.355,0
1531,0,23,1,1,4,0,0.346,0
1532,0,50,5,4,6,1,0.754,0
1533,0,30,2,1,5,0,0.352,0
1534,0,32,2,2,5,0,0.351,0
1535,1,35,2,2,6,0,0.36,0
1536,0,229,0,16,6,0,0.466,0
1537,1,38,0,2,6,0,0.362,0
1538,0,17,2,2,3,0,0.742,0
1539,0,134,1,29,13,0,0.838,0
1540,2,40,2,1,7,0,0.683,0
1541,1,31,2,2,5,0,0.351,0
1542,0,20,2,3,3,0,0.365,0
1543,0,23,1,1,4,0,0.351,0
1544,0,64,4,0,9,0,0.361,0
1545,1,23,2,1,4,0,0.353,0
1546,0,98,2,2,3,0,0.354,0
1547,0,16,1,1,3,0,0.355,0
1548,0,24,2,1,4,0,0.352,0
1549,0,40,2,2,6,0,0.351,0
1550,1,26,2,1,6,0,0.408,0
1551,12,208,5,3,11,0,0.372,0
1552,4,91,9,8,14,0,0.438,0
1553,1,31,3,2,7,0,0.483,0
1554,0,124,2,2,4,0,0.352,0
1555,0,63,2,1,10,0,0.524,0
1556,23,787,14,12,20,0,0.395,0
1557,2,48,2,1,9,0,0.398,0
1558,1,68,4,2,10,0,0.38,0
1559,0,9,2,0,1,0,0.384,0
1560,0,5,1,0,1,0,0.668,0
1561,0,5,1,0,1,0,0.483,0
1562,0,10,2,0,2,0,0.825,0
1563,0,5,1,0,1,0,0.659,0
1564,0,9,2,0,1,0,0.38,0
1565,0,5,1,0,1,0,0.651,0
1566,0,9,2,0,1,0,0.365,0
1567,0,9,2,0,1,0,0.423,0
1568,0,9,2,0,1,0,0.353,0
1569,0,5,1,0,1,0,0.657,0
1570,0,5,1,0,1,0,1.818,0
1571,0,12,0,0,3,0,0.522,0
1572,0,8,0,0,2,0,0.338,0
1573,0,84,3,0,14,1,0.883,0
1574,0,246,5,2,54,10,1.992,0
1575,5,371,0,0,88,17,1.562,0
1576,3,2379,3,0,521,21,8.662,0
1577,0,12,0,0,3,0,2.33,0
1578,0,119,2,1,19,0,0.643,0
1579,0,4,0,0,1,0,0.882,0
1580,0,8,0,0,2,0,6.275,0
1581,0,104,3,3,21,0,66.216,0
1582,1,8,0,0,2,1,0.372,0
1583,0,53,0,0,0,0,0.361,0
1584,0,50,0,0,1,0,0.411,0
1585,90,3170,1,0,687,0,3.192,0
1586,0,0,0,0,0,0,0.333,0
1587,0,0,0,0,0,0,0.437,0
1588,0,10,0,0,1,0,0.383,0
1589,0,0,0,0,0,0,0.361,0
1590,0,6,0,0,0,0,0.353,0
1591,0,9,0,0,0,0,0.338,0
1592,0,0,0,0,0,0,0.875,0
1593,0,0,0,0,0,0,0.477,0
1594,0,0,0,0,0,0,0.345,0
1595,0,9,0,0,0,0,0.335,0
1596,0,0,0,0,0,0,0.342,0
1597,0,0,0,0,0,0,0.338,0
1598,0,10,0,0,0,0,0.336,0
1599,0,10,0,0,0,0,0.361,0
1600,0,33,0,0,0,0,0.359,0
1601,0,33,0,0,0,0,0.362,0
1602,0,31,0,0,0,0,0.357,0
1603,0,31,0,0,0,0,0.351,0
1604,0,31,0,0,0,0,0.338,0
1605,0,45,0,0,0,0,0.362,0
1606,0,45,0,0,0,0,0.36,0
1607,0,4,0,0,1,0,0.35,0
1608,0,35,0,0,6,1,1.952,0
1609,0,13,0,0,3,0,0.528,0
1610,0,0,0,0,0,0,0.36,0
1611,1,94,1,0,7,0,0.359,0
1612,0,0,0,0,0,0,0.906,0
1613,0,128,0,0,16,0,0.524,0
1614,0,401,1,0,0,0,0.968,0
1615,0,0,0,0,0,0,0.615,0
1616,0,10,0,0,1,0,0.361,0
1617,0,0,0,0,0,0,0.343,0
1618,0,6,0,0,0,0,0.36,0
1619,0,4,0,0,1,0,0.972,0
1620,0,0,0,0,0,0,0.63,0
1621,0,0,0,0,0,0,0.375,0
1622,0,0,0,0,0,0,0.346,0
1623,0,0,0,0,0,0,0.338,0
1624,0,30,0,0,0,0,0.35,0
1625,0,34,0,0,1,0,0.347,0
1626,0,34,0,0,1,0,0.349,0
1627,0,30,0,0,0,0,0.348,0
1628,0,0,0,0,0,0,0.342,0
1629,0,28,0,0,0,0,0.342,0
1630,0,27,0,0,0,0,1.302,0
1631,0,28,0,0,0,0,0.336,0
1632,0,28,0,0,0,0,0.337,0
1633,0,28,0,0,0,0,0.34,0
1634,0,35,0,0,0,0,0.926,0
1635,0,35,0,0,0,0,0.861,0
1636,0,31,0,0,0,0,2.332,0
1637,0,31,0,0,0,0,1.406,0
1638,0,27,0,0,0,0,1.207,0
1639,0,27,0,0,0,0,2.023,0
1640,0,13,0,0,3,0,0.403,0
1641,0,18,0,0,4,0,1.383,0
1642,0,4,0,0,1,0,0.34,0
1643,0,4,0,0,1,0,0.336,0
1644,0,11,0,0,1,0,0.754,0
1645,0,79,11,0,10,0,0.472,0
1646,1,44,0,0,9,0,0.456,0
1647,0,16,0,0,3,0,0.347,0
1648,0,16,0,0,3,0,0.356,0
1649,0,72,4,4,7,0,1.612,0
1650,0,41,0,0,8,0,0.473,0
1651,0,17,0,0,3,0,1.161,0
1652,22,540,0,0,111,0,4.408,0
1653,0,5,0,0,1,0,0.367,0
1654,0,10,0,0,1,0,0.343,0
1655,0,953,0,0,50,1,0.654,0
1656,0,10,0,0,1,0,0.338,0
1657,1,23,3,1,5,0,0.588,0
1658,0,24,0,0,2,0,0.347,0
1659,0,375,0,0,51,2,0.998,0
1660,0,4,0,0,1,0,0.356,0
1661,0,7,0,0,1,0,0.346,0
1662,1,36,1,0,6,0,0.385,0
1663,1,28,1,0,5,0,0.628,0
1664,0,19,0,0,3,0,22.668,0
